ElapsedSec,ALT,Pres
39.23,-29.04,101674.33
39.29,-29.04,101674.33
39.36,-29.04,101674.33
39.43,-29.04,101674.33
39.49,-29.04,101674.33
39.56,-29.04,101674.33
39.62,-29.04,101674.33
39.69,-29.04,101674.33
39.76,-29.04,101674.33
39.82,-29.04,101674.33
39.89,-29.04,101674.33
39.96,-29.04,101674.33
40.02,-29.04,101674.33
40.09,-29.04,101674.33
40.15,-29.04,101674.33
40.22,-29.04,101674.33
40.29,-29.04,101674.33
40.35,-29.04,101674.33
40.42,-29.04,101674.33
40.48,-29.04,101674.33
40.55,-29.04,101674.33
40.62,-29.04,101674.33
40.68,-29.04,101674.33
40.75,-29.04,101674.33
40.81,-29.04,101674.33
40.88,-29.04,101674.33
40.95,-29.04,101674.33
41.01,-29.04,101674.33
41.08,-29.04,101674.33
41.15,-29.04,101674.33
41.21,-29.04,101674.33
41.28,-29.04,101674.33
41.35,-29.04,101674.33
41.41,-29.04,101674.33
41.48,-29.04,101674.33
41.54,-29.04,101674.33
41.61,-29.04,101674.33
41.68,-29.04,101674.33
41.74,-29.04,101674.33
41.81,-29.04,101674.33
41.88,-29.04,101674.33
41.94,-29.04,101674.33
42.01,-29.04,101674.33
42.07,-29.04,101674.33
42.14,-29.04,101674.33
42.21,-29.04,101674.33
42.28,-29.04,101674.33
42.34,-29.04,101674.33
42.41,-29.04,101674.33
42.47,-29.04,101674.33
42.54,-29.04,101674.33
42.61,-29.04,101674.33
42.67,-29.04,101674.33
42.74,-29.04,101674.33
42.81,-29.04,101674.33
42.87,-29.04,101674.33
42.94,-29.04,101674.33
43.01,-29.04,101674.33
43.07,-29.04,101674.33
43.14,-29.04,101674.33
43.2,-29.04,101674.33
43.27,-29.04,101674.33
43.34,-29.04,101674.33
43.4,-29.04,101674.33
43.47,-29.04,101674.33
43.54,-29.04,101674.33
43.6,-29.04,101674.33
43.67,-29.04,101674.33
43.74,-29.04,101674.33
43.8,-29.04,101674.33
43.87,-29.04,101674.33
43.94,-29.04,101674.33
44.0,-29.04,101674.33
44.07,-29.04,101674.33
44.14,-29.04,101674.33
44.2,-29.04,101674.33
44.27,-29.04,101674.33
44.33,-29.04,101674.33
44.4,-29.04,101674.33
44.47,-29.04,101674.33
44.54,-29.04,101674.33
44.6,-29.04,101674.33
44.67,-29.04,101674.33
44.73,-29.04,101674.33
44.8,-29.04,101674.33
44.87,-29.04,101674.33
44.93,-29.04,101674.33
45.0,-29.04,101674.33
45.08,-29.04,101674.33
45.14,-29.04,101674.33
45.21,-29.04,101674.33
45.27,-29.04,101674.33
45.34,-29.04,101674.33
45.4,-29.04,101674.33
45.47,-29.04,101674.33
45.54,-29.04,101674.33
45.6,-29.04,101674.33
45.67,-29.04,101674.33
45.74,-29.04,101674.33
45.8,-29.04,101674.33
45.87,-29.04,101674.33
45.93,-29.04,101674.33
46.0,-29.04,101674.33
46.06,-29.04,101674.33
46.13,-29.04,101674.33
46.2,-29.04,101674.33
46.26,-29.04,101674.33
46.33,-29.04,101674.33
46.4,-29.04,101674.33
46.46,-29.04,101674.33
46.53,-29.04,101674.33
46.6,-29.04,101674.33
46.66,-29.04,101674.33
46.73,-29.04,101674.33
46.79,-29.04,101674.33
46.86,-29.04,101674.33
46.93,-29.04,101674.33
46.99,-29.04,101674.33
47.06,-29.04,101674.33
47.12,-29.04,101674.33
47.19,-29.04,101674.33
47.26,-29.04,101674.33
47.32,-29.04,101674.33
47.39,-29.04,101674.33
47.46,-29.04,101674.33
47.52,-29.04,101674.33
47.59,-29.04,101674.33
47.66,-29.04,101674.33
47.73,-29.04,101674.33
47.8,-29.04,101674.33
47.86,-29.04,101674.33
47.93,-29.04,101674.33
48.0,-29.04,101674.33
48.06,-29.04,101674.33
48.13,-29.04,101674.33
48.19,-29.04,101674.33
48.26,-29.04,101674.33
48.33,-29.04,101674.33
48.39,-29.04,101674.33
48.46,-29.04,101674.33
48.53,-29.04,101674.33
48.59,-29.04,101674.33
48.66,-29.04,101674.33
48.72,-29.04,101674.33
48.79,-29.04,101674.33
48.87,-29.04,101674.33
