ElapsedSec,AccX,AccY,AccZ
33.31,-8.84,-0.45,4.15
33.37,-8.84,-0.45,4.15
33.44,-8.84,-0.45,4.15
33.51,-8.84,-0.45,4.15
33.57,-8.84,-0.45,4.15
33.64,-8.84,-0.45,4.15
33.71,-8.84,-0.45,4.15
33.77,-8.84,-0.45,4.15
33.84,-8.84,-0.45,4.15
33.9,-8.84,-0.45,4.15
33.97,-8.84,-0.45,4.15
34.04,-8.84,-0.45,4.15
34.11,-8.84,-0.45,4.15
34.18,-8.84,-0.45,4.15
34.24,-8.84,-0.45,4.15
34.31,-8.84,-0.45,4.15
34.37,-8.84,-0.45,4.15
34.44,-8.84,-0.45,4.15
34.51,-8.84,-0.45,4.15
34.57,-8.84,-0.45,4.15
34.64,-8.84,-0.45,4.15
34.71,-8.84,-0.45,4.15
34.77,-8.84,-0.45,4.15
34.84,-8.84,-0.45,4.15
34.9,-8.84,-0.45,4.15
34.97,-8.84,-0.45,4.15
35.04,-8.84,-0.45,4.15
35.1,-8.84,-0.45,4.15
35.17,-8.84,-0.45,4.15
35.24,-8.84,-0.45,4.15
35.3,-8.84,-0.45,4.15
35.37,-8.84,-0.45,4.15
35.44,-8.84,-0.45,4.15
35.5,-8.84,-0.45,4.15
35.57,-8.84,-0.45,4.15
35.63,-8.84,-0.45,4.15
35.7,-8.84,-0.45,4.15
35.77,-8.84,-0.45,4.15
35.83,-8.84,-0.45,4.15
35.9,-8.84,-0.45,4.15
35.97,-8.84,-0.45,4.15
36.03,-8.84,-0.45,4.15
36.1,-8.84,-0.45,4.15
36.17,-8.84,-0.45,4.15
36.23,-8.84,-0.45,4.15
36.3,-8.84,-0.45,4.15
36.37,-8.84,-0.45,4.15
36.43,-8.84,-0.45,4.15
36.5,-8.84,-0.45,4.15
36.56,-8.84,-0.45,4.15
36.63,-8.84,-0.45,4.15
36.7,-8.84,-0.45,4.15
36.76,-8.84,-0.45,4.15
36.83,-8.84,-0.45,4.15
36.9,-8.84,-0.45,4.15
36.96,-8.84,-0.45,4.15
37.03,-8.84,-0.45,4.15
37.1,-8.84,-0.45,4.15
37.16,-8.84,-0.45,4.15
37.23,-8.84,-0.45,4.15
37.3,-8.84,-0.45,4.15
37.36,-8.84,-0.45,4.15
37.43,-8.84,-0.45,4.15
37.5,-8.84,-0.45,4.15
37.56,-8.84,-0.45,4.15
37.63,-8.84,-0.45,4.15
37.7,-8.84,-0.45,4.15
37.76,-8.84,-0.45,4.15
37.83,-8.84,-0.45,4.15
37.9,-8.84,-0.45,4.15
37.96,-8.84,-0.45,4.15
38.03,-8.84,-0.45,4.15
38.1,-8.84,-0.45,4.15
38.16,-8.84,-0.45,4.15
38.23,-8.84,-0.45,4.15
38.3,-8.84,-0.45,4.15
38.36,-8.84,-0.45,4.15
38.43,-8.84,-0.45,4.15
38.5,-8.84,-0.45,4.15
38.57,-8.84,-0.45,4.15
38.63,-8.84,-0.45,4.15
38.7,-8.84,-0.45,4.15
38.77,-8.84,-0.45,4.15
38.83,-8.84,-0.45,4.15
38.9,-8.84,-0.45,4.15
38.96,-8.84,-0.45,4.15
39.03,-8.84,-0.45,4.15
39.1,-8.84,-0.45,4.15
39.16,-8.84,-0.45,4.15
39.23,-8.84,-0.45,4.15
39.29,-8.84,-0.45,4.15
39.36,-8.84,-0.45,4.15
39.43,-8.84,-0.45,4.15
39.49,-8.84,-0.45,4.15
39.56,-8.84,-0.45,4.15
39.62,-8.84,-0.45,4.15
39.69,-8.84,-0.45,4.15
39.76,-8.84,-0.45,4.15
39.82,-8.84,-0.45,4.15
39.89,-8.84,-0.45,4.15
39.96,-8.84,-0.45,4.15
40.02,-8.84,-0.45,4.15
40.09,-8.84,-0.45,4.15
40.15,-8.84,-0.45,4.15
40.22,-8.84,-0.45,4.15
40.29,-8.84,-0.45,4.15
40.35,-8.84,-0.45,4.15
40.42,-8.84,-0.45,4.15
40.48,-8.84,-0.45,4.15
40.55,-8.84,-0.45,4.15
40.62,-8.84,-0.45,4.15
40.68,-8.84,-0.45,4.15
40.75,-8.84,-0.45,4.15
40.81,-8.84,-0.45,4.15
40.88,-8.84,-0.45,4.15
40.95,-8.84,-0.45,4.15
41.01,-8.84,-0.45,4.15
41.08,-8.84,-0.45,4.15
41.15,-8.84,-0.45,4.15
41.21,-8.84,-0.45,4.15
41.28,-8.84,-0.45,4.15
41.35,-8.84,-0.45,4.15
41.41,-8.84,-0.45,4.15
41.48,-8.84,-0.45,4.15
41.54,-8.84,-0.45,4.15
41.61,-8.84,-0.45,4.15
41.68,-8.84,-0.45,4.15
41.74,-8.84,-0.45,4.15
41.81,-8.84,-0.45,4.15
41.88,-8.84,-0.45,4.15
41.94,-8.84,-0.45,4.15
42.01,-8.84,-0.45,4.15
42.07,-8.84,-0.45,4.15
42.14,-8.84,-0.45,4.15
42.21,-8.84,-0.45,4.15
42.28,-8.84,-0.45,4.15
42.34,-8.84,-0.45,4.15
42.41,-8.84,-0.45,4.15
42.47,-8.84,-0.45,4.15
42.54,-8.84,-0.45,4.15
42.61,-8.84,-0.45,4.15
42.67,-8.84,-0.45,4.15
42.74,-8.84,-0.45,4.15
42.81,-8.84,-0.45,4.15
42.87,-8.84,-0.45,4.15
42.94,-8.84,-0.45,4.15
43.01,-8.84,-0.45,4.15
43.07,-8.84,-0.45,4.15
43.14,-8.84,-0.45,4.15
43.2,-8.84,-0.45,4.15
43.27,-8.84,-0.45,4.15
43.34,-8.84,-0.45,4.15
43.4,-8.84,-0.45,4.15
43.47,-8.84,-0.45,4.15
43.54,-8.84,-0.45,4.15
43.6,-8.84,-0.45,4.15
43.67,-8.84,-0.45,4.15
43.74,-8.84,-0.45,4.15
43.8,-8.84,-0.45,4.15
43.87,-8.84,-0.45,4.15
43.94,-8.84,-0.45,4.15
44.0,-8.84,-0.45,4.15
44.07,-8.84,-0.45,4.15
44.14,-8.84,-0.45,4.15
44.2,-8.84,-0.45,4.15
44.27,-8.84,-0.45,4.15
44.33,-8.84,-0.45,4.15
44.4,-8.84,-0.45,4.15
44.47,-8.84,-0.45,4.15
44.54,-8.84,-0.45,4.15
44.6,-8.84,-0.45,4.15
44.67,-8.84,-0.45,4.15
44.73,-8.84,-0.45,4.15
44.8,-8.84,-0.45,4.15
44.87,-8.84,-0.45,4.15
44.93,-8.84,-0.45,4.15
45.0,-8.84,-0.45,4.15
45.08,-8.84,-0.45,4.15
45.14,-8.84,-0.45,4.15
45.21,-8.84,-0.45,4.15
45.27,-8.84,-0.45,4.15
45.34,-8.84,-0.45,4.15
45.4,-8.84,-0.45,4.15
45.47,-8.84,-0.45,4.15
45.54,-8.84,-0.45,4.15
45.6,-8.84,-0.45,4.15
45.67,-8.84,-0.45,4.15
45.74,-8.84,-0.45,4.15
45.8,-8.84,-0.45,4.15
45.87,-8.84,-0.45,4.15
