ElapsedSec,ConeDir,ConeProb,ConeMethod,ObstacleDist
33.57,0.5,0.0,,999.0
33.64,0.5,0.0,,999.0
33.71,0.5,0.0,,999.0
33.77,0.5,0.0,,999.0
33.84,0.5,0.0,,999.0
33.9,0.5,0.0,,999.0
33.97,0.5,0.0,,999.0
34.04,0.5,0.0,,999.0
34.11,0.5,0.0,,999.0
34.18,0.5,0.0,,999.0
34.24,0.5,0.0,,999.0
34.31,0.5,0.0,,999.0
34.37,0.5,0.0,,999.0
34.44,0.5,0.0,,999.0
34.51,0.5,0.0,,999.0
34.57,0.5,0.0,,999.0
34.64,0.5,0.0,,999.0
34.71,0.5,0.0,,999.0
34.77,0.5,0.0,,999.0
34.84,0.5,0.0,,999.0
34.9,0.5,0.0,,999.0
34.97,0.5,0.0,,999.0
35.04,0.5,0.0,,999.0
35.1,0.5,0.0,,999.0
35.17,0.5,0.0,,999.0
35.24,0.5,0.0,,999.0
35.3,0.5,0.0,,999.0
35.37,0.5,0.0,,999.0
35.44,0.5,0.0,,999.0
35.5,0.5,0.0,,999.0
35.57,0.5,0.0,,999.0
35.63,0.5,0.0,,999.0
35.7,0.5,0.0,,999.0
35.77,0.5,0.0,,999.0
35.83,0.5,0.0,,999.0
35.9,0.5,0.0,,999.0
35.97,0.5,0.0,,999.0
36.03,0.5,0.0,,999.0
36.1,0.5,0.0,,999.0
36.17,0.5,0.0,,999.0
36.23,0.5,0.0,,999.0
36.3,0.5,0.0,,999.0
36.37,0.5,0.0,,999.0
36.43,0.5,0.0,,999.0
36.5,0.5,0.0,,999.0
36.56,0.5,0.0,,999.0
36.63,0.5,0.0,,999.0
36.7,0.5,0.0,,999.0
36.76,0.5,0.0,,999.0
36.83,0.5,0.0,,999.0
36.9,0.5,0.0,,999.0
36.96,0.5,0.0,,999.0
37.03,0.5,0.0,,999.0
37.1,0.5,0.0,,999.0
37.16,0.5,0.0,,999.0
37.23,0.5,0.0,,999.0
37.3,0.5,0.0,,999.0
37.36,0.5,0.0,,999.0
37.43,0.5,0.0,,999.0
37.5,0.5,0.0,,999.0
37.56,0.5,0.0,,999.0
37.63,0.5,0.0,,999.0
37.7,0.5,0.0,,999.0
37.76,0.5,0.0,,999.0
37.83,0.5,0.0,,999.0
37.9,0.5,0.0,,999.0
37.96,0.5,0.0,,999.0
38.03,0.5,0.0,,999.0
38.1,0.5,0.0,,999.0
38.16,0.5,0.0,,999.0
38.23,0.5,0.0,,999.0
38.3,0.5,0.0,,999.0
38.36,0.5,0.0,,999.0
38.43,0.5,0.0,,999.0
38.5,0.5,0.0,,999.0
38.57,0.5,0.0,,999.0
38.63,0.5,0.0,,999.0
38.7,0.5,0.0,,999.0
38.77,0.5,0.0,,999.0
38.83,0.5,0.0,,999.0
38.9,0.5,0.0,,999.0
38.96,0.5,0.0,,999.0
39.03,0.5,0.0,,999.0
39.1,0.5,0.0,,999.0
39.16,0.5,0.0,,999.0
39.23,0.5,0.0,,999.0
39.29,0.5,0.0,,999.0
39.36,0.5,0.0,,999.0
39.43,0.5,0.0,,999.0
39.49,0.5,0.0,,999.0
39.56,0.5,0.0,,999.0
39.62,0.5,0.0,,999.0
39.69,0.5,0.0,,999.0
39.76,0.5,0.0,,999.0
39.82,0.5,0.0,,999.0
39.89,0.5,0.0,,999.0
39.96,0.5,0.0,,999.0
40.02,0.5,0.0,,999.0
40.09,0.5,0.0,,999.0
40.15,0.5,0.0,,999.0
40.22,0.5,0.0,,999.0
40.29,0.5,0.0,,999.0
40.35,0.5,0.0,,999.0
40.42,0.5,0.0,,999.0
40.48,0.5,0.0,,999.0
40.55,0.5,0.0,,999.0
40.62,0.5,0.0,,999.0
40.68,0.5,0.0,,999.0
40.75,0.5,0.0,,999.0
40.81,0.5,0.0,,999.0
40.88,0.5,0.0,,999.0
40.95,0.5,0.0,,999.0
41.01,0.5,0.0,,999.0
41.08,0.5,0.0,,999.0
41.15,0.5,0.0,,999.0
41.21,0.5,0.0,,999.0
41.28,0.5,0.0,,999.0
41.35,0.5,0.0,,999.0
41.41,0.5,0.0,,999.0
41.48,0.5,0.0,,999.0
41.54,0.5,0.0,,999.0
41.61,0.5,0.0,,999.0
41.68,0.5,0.0,,999.0
41.74,0.5,0.0,,999.0
41.81,0.5,0.0,,999.0
41.88,0.5,0.0,,999.0
41.94,0.5,0.0,,999.0
42.01,0.5,0.0,,999.0
42.07,0.5,0.0,,999.0
42.14,0.5,0.0,,999.0
42.21,0.5,0.0,,999.0
42.28,0.5,0.0,,999.0
42.34,0.5,0.0,,999.0
42.41,0.5,0.0,,999.0
42.47,0.5,0.0,,999.0
42.54,0.5,0.0,,999.0
42.61,0.5,0.0,,999.0
42.67,0.5,0.0,,999.0
42.74,0.5,0.0,,999.0
42.81,0.5,0.0,,999.0
42.87,0.5,0.0,,999.0
42.94,0.5,0.0,,999.0
43.01,0.5,0.0,,999.0
43.07,0.5,0.0,,999.0
43.14,0.5,0.0,,999.0
43.2,0.5,0.0,,999.0
43.27,0.5,0.0,,999.0
43.34,0.5,0.0,,999.0
