ElapsedSec,Phase,AnomalyCount,HighlightAnomalyCount,MissingCount
223.01,2,1,1,0
223.07,2,1,1,0
223.15,2,1,1,0
223.21,2,1,1,0
223.28,2,1,1,0
223.35,2,1,1,0
223.41,2,1,1,0
223.48,2,1,1,0
223.55,2,1,1,0
223.61,2,1,1,0
223.68,2,1,1,0
223.74,2,1,1,0
223.81,2,1,1,0
223.88,2,1,1,0
223.94,2,1,1,0
224.01,2,1,1,0
224.08,2,1,1,0
224.14,2,1,1,0
224.21,2,1,1,0
224.28,2,1,1,0
224.34,2,1,1,0
224.41,2,1,1,0
224.48,2,1,1,0
224.54,2,1,1,0
224.61,2,1,1,0
224.67,2,1,1,0
224.74,2,1,1,0
224.81,2,1,1,0
224.87,2,1,1,0
224.94,2,1,1,0
225.01,2,1,1,0
225.07,2,1,1,0
225.14,2,1,1,0
225.21,2,1,1,0
225.27,2,1,1,0
225.34,2,1,1,0
225.4,2,1,1,0
225.47,2,1,1,0
225.54,2,1,1,0
225.6,2,1,1,0
225.67,2,1,1,0
225.74,2,1,1,0
225.8,2,1,1,0
225.87,2,1,1,0
225.93,2,1,1,0
226.0,2,1,1,0
226.07,2,1,1,0
226.14,2,1,1,0
226.2,2,1,1,0
226.27,2,1,1,0
226.33,2,1,1,0
226.4,2,1,1,0
226.47,2,1,1,0
226.53,2,1,1,0
226.6,2,1,1,0
226.67,2,1,1,0
226.74,2,1,1,0
226.8,2,1,1,0
226.87,2,1,1,0
226.94,2,1,1,0
227.0,2,1,1,0
227.07,2,1,1,0
227.14,2,1,1,0
227.2,2,1,1,0
227.27,2,1,1,0
227.34,2,1,1,0
227.4,2,1,1,0
227.47,2,1,1,0
227.54,2,1,1,0
227.6,2,1,1,0
227.67,2,1,1,0
227.74,2,1,1,0
227.8,2,1,1,0
227.87,2,1,1,0
227.94,2,1,1,0
228.0,2,1,1,0
228.07,2,1,1,0
228.14,2,1,1,0
228.2,2,1,1,0
228.27,2,1,1,0
228.34,2,1,1,0
228.4,2,1,1,0
228.47,2,1,1,0
228.54,2,1,1,0
228.6,2,1,1,0
228.67,2,1,1,0
228.74,2,1,1,0
228.81,2,1,1,0
228.88,2,1,1,0
228.94,2,1,1,0
229.01,2,1,1,0
229.08,2,1,1,0
229.14,2,1,1,0
229.21,2,1,1,0
229.27,2,1,1,0
229.34,2,1,1,0
229.41,2,1,1,0
229.47,2,1,1,0
229.54,2,1,1,0
229.6,2,1,1,0
229.67,2,1,1,0
229.74,2,1,1,0
229.8,2,1,1,0
229.87,2,1,1,0
229.93,2,1,1,0
230.0,2,1,1,0
230.08,2,1,1,0
230.14,2,1,1,0
230.21,2,1,1,0
230.28,2,1,1,0
230.34,2,1,1,0
230.41,2,1,1,0
230.48,2,1,1,0
230.54,2,1,1,0
230.61,2,1,1,0
230.67,2,1,1,0
230.74,2,1,1,0
230.81,2,1,1,0
