ElapsedSec,Distance,Azimuth,TargetLat,TargetLng,Angle,Direction,AngleValid
11.75,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.82,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.88,0.0,0.0,30.374217,130.959968,269.94,0.0,1
11.95,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.02,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.08,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.15,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.21,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.28,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.35,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.41,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.48,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.54,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.61,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.67,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.74,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.81,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.87,0.0,0.0,30.374217,130.959968,269.94,0.0,1
12.94,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.01,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.23,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.36,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.69,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.76,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.89,0.0,0.0,30.374217,130.959968,269.94,0.0,1
13.96,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.04,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.17,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.24,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.37,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.44,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.57,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.7,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.77,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.9,0.0,0.0,30.374217,130.959968,269.94,0.0,1
14.97,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.03,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.17,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.23,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.37,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.57,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.7,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.77,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.9,0.0,0.0,30.374217,130.959968,269.94,0.0,1
15.97,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.03,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.16,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.23,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.3,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.37,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.43,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.5,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.56,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.63,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.7,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.76,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.83,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.9,0.0,0.0,30.374217,130.959968,269.94,0.0,1
16.96,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.03,0.0,0.0,30.374217,130.959968,269.94,0.0,1
17.1,0.0,0.0,30.374217,130.959968,269.94,0.0,1
