ElapsedSec,Fall,BNOStaleSec
48.53,9.78,0.0
48.59,9.78,0.0
48.66,9.78,0.0
48.72,9.78,0.0
48.79,9.78,0.0
48.87,9.78,0.0
48.95,9.78,0.0
49.03,9.78,0.0
49.1,9.78,0.0
49.17,9.78,0.0
49.26,9.78,0.0
49.33,9.78,0.0
49.4,9.78,0.0
49.46,9.78,0.0
49.53,9.78,0.0
49.6,9.78,0.0
49.66,9.78,0.0
49.73,9.78,0.0
49.8,9.78,0.0
49.86,9.78,0.0
49.93,9.78,0.0
50.0,9.78,0.0
50.06,9.78,0.0
50.13,9.78,0.0
50.2,9.78,0.0
50.26,9.78,0.0
50.33,9.78,0.0
50.4,9.78,0.0
50.46,9.78,0.0
50.53,9.78,0.0
50.6,9.78,0.0
50.66,9.78,0.0
50.73,9.78,0.0
50.8,9.78,0.0
50.87,9.78,0.0
50.93,9.78,0.0
51.0,9.78,0.0
51.07,9.78,0.0
51.13,9.78,0.0
51.2,9.78,0.0
51.27,9.78,0.0
51.33,9.78,0.0
51.4,9.78,0.0
51.47,9.78,0.0
51.53,9.78,0.0
51.6,9.78,0.0
51.67,9.78,0.0
51.73,9.78,0.0
51.8,9.78,0.0
51.87,9.78,0.0
51.94,9.78,0.0
52.0,9.78,0.0
52.07,9.78,0.0
52.14,9.78,0.0
52.2,9.78,0.0
52.27,9.78,0.0
52.33,9.78,0.0
52.4,9.78,0.0
52.47,9.78,0.0
52.53,9.78,0.0
52.6,9.78,0.0
52.66,9.78,0.0
52.73,9.78,0.0
52.79,9.78,0.0
52.86,9.78,0.0
52.93,9.78,0.0
52.99,9.78,0.0
53.06,9.78,0.0
53.12,9.78,0.0
53.19,9.78,0.0
53.26,9.78,0.0
53.32,9.78,0.0
53.39,9.78,0.0
53.46,9.78,0.0
53.52,9.78,0.0
53.59,9.78,0.0
53.66,9.78,0.0
53.72,9.78,0.0
53.79,9.78,0.0
53.85,9.78,0.0
53.92,9.78,0.0
53.99,9.78,0.0
54.05,9.78,0.0
54.12,9.78,0.0
54.18,9.78,0.0
54.25,9.78,0.0
54.32,9.78,0.0
54.38,9.78,0.0
54.45,9.78,0.0
54.52,9.78,0.0
54.58,9.78,0.0
54.65,9.78,0.0
54.72,9.78,0.0
54.78,9.78,0.0
54.85,9.78,0.0
54.91,9.78,0.0
54.98,9.78,0.0
55.05,9.78,0.0
55.11,9.78,0.0
55.18,9.78,0.0
55.25,9.78,0.0
55.31,9.78,0.0
55.38,9.78,0.0
55.45,9.78,0.0
55.51,9.78,0.0
55.58,9.78,0.0
55.65,9.78,0.0
55.71,9.78,0.0
55.78,9.78,0.0
55.85,9.78,0.0
55.91,9.78,0.0
