ElapsedSec,LAT,LNG,GpsSpeedMps,GPSFixQual,GPSSats,GPSHdop
30.58,30.374765,130.960088,0.0,2,19,0.68
30.65,30.374765,130.960088,0.0,2,19,0.68
30.71,30.374765,130.960088,0.0,2,19,0.68
30.78,30.374765,130.960088,0.0,2,19,0.68
30.85,30.374765,130.960088,0.0,2,19,0.68
30.91,30.374765,130.960088,0.0,2,19,0.68
30.98,30.374765,130.960088,0.0,2,19,0.68
31.05,30.374765,130.960088,0.0,2,19,0.68
31.11,30.374765,130.960088,0.0,2,19,0.68
31.18,30.374765,130.960088,0.0,2,19,0.68
31.25,30.374765,130.960088,0.0,2,19,0.68
31.31,30.374765,130.960088,0.0,2,19,0.68
31.38,30.374765,130.960088,0.0,2,19,0.68
31.45,30.374765,130.960088,0.0,2,19,0.68
31.52,30.374765,130.960088,0.0,2,19,0.68
31.58,30.374765,130.960088,0.0,2,19,0.68
31.65,30.374765,130.960088,0.0,2,19,0.68
31.72,30.374765,130.960088,0.0,2,19,0.68
31.79,30.374765,130.960088,0.0,2,19,0.68
31.85,30.374765,130.960088,0.0,2,19,0.68
31.92,30.374765,130.960088,0.0,2,19,0.68
31.99,30.374765,130.960088,0.0,2,19,0.68
32.05,30.374765,130.960088,0.0,2,19,0.68
32.12,30.374765,130.960088,0.0,2,19,0.68
32.18,30.374765,130.960088,0.0,2,19,0.68
32.25,30.374765,130.960088,0.0,2,19,0.68
32.32,30.374765,130.960088,0.0,2,19,0.68
32.38,30.374765,130.960088,0.0,2,19,0.68
32.45,30.374765,130.960088,0.0,2,19,0.68
32.51,30.374765,130.960088,0.0,2,19,0.68
32.58,30.374765,130.960088,0.0,2,19,0.68
32.65,30.374765,130.960088,0.0,2,19,0.68
32.71,30.374765,130.960088,0.0,2,19,0.68
32.78,30.374765,130.960088,0.0,2,19,0.68
32.84,30.374765,130.960088,0.0,2,19,0.68
32.91,30.374765,130.960088,0.0,2,19,0.68
32.98,30.374765,130.960088,0.0,2,19,0.68
33.04,30.374765,130.960088,0.0,2,19,0.68
33.11,30.374765,130.960088,0.0,2,19,0.68
33.17,30.374765,130.960088,0.0,2,19,0.68
33.24,30.374765,130.960088,0.0,2,19,0.68
33.31,30.374765,130.960088,0.0,2,19,0.68
33.37,30.374765,130.960088,0.0,2,19,0.68
33.44,30.374765,130.960088,0.0,2,19,0.68
33.51,30.374765,130.960088,0.0,2,19,0.68
33.57,30.374765,130.960088,0.0,2,19,0.68
33.64,30.374765,130.960088,0.0,2,19,0.68
33.71,30.374765,130.960088,0.0,2,19,0.68
33.77,30.374765,130.960088,0.0,2,19,0.68
33.84,30.374765,130.960088,0.0,2,19,0.68
33.9,30.374765,130.960088,0.0,2,19,0.68
33.97,30.374765,130.960088,0.0,2,19,0.68
34.04,30.374765,130.960088,0.0,2,19,0.68
