ElapsedSec,MagX,MagY,MagZ
25.67,520.88,-81.25,201.75
25.74,520.88,-81.25,201.75
25.81,520.88,-81.25,201.75
25.87,520.88,-81.25,201.75
25.94,520.88,-81.25,201.75
26.01,520.88,-81.25,201.75
26.07,520.88,-81.25,201.75
26.14,520.88,-81.25,201.75
26.2,520.88,-81.25,201.75
26.27,520.88,-81.25,201.75
26.34,520.88,-81.25,201.75
26.4,520.88,-81.25,201.75
26.47,520.88,-81.25,201.75
26.53,520.88,-81.25,201.75
26.6,520.88,-81.25,201.75
26.67,520.88,-81.25,201.75
26.73,520.88,-81.25,201.75
26.8,520.88,-81.25,201.75
26.86,520.88,-81.25,201.75
26.93,520.88,-81.25,201.75
26.99,520.88,-81.25,201.75
27.06,520.88,-81.25,201.75
27.13,520.88,-81.25,201.75
27.19,520.88,-81.25,201.75
27.26,520.88,-81.25,201.75
27.33,520.88,-81.25,201.75
27.39,520.88,-81.25,201.75
27.46,520.88,-81.25,201.75
27.52,520.88,-81.25,201.75
27.59,520.88,-81.25,201.75
27.66,520.88,-81.25,201.75
27.72,520.88,-81.25,201.75
27.79,520.88,-81.25,201.75
27.86,520.88,-81.25,201.75
27.92,520.88,-81.25,201.75
27.99,520.88,-81.25,201.75
28.05,520.88,-81.25,201.75
28.12,520.88,-81.25,201.75
28.19,520.88,-81.25,201.75
28.25,520.88,-81.25,201.75
28.32,520.88,-81.25,201.75
28.39,520.88,-81.25,201.75
28.45,520.88,-81.25,201.75
28.52,520.88,-81.25,201.75
28.59,520.88,-81.25,201.75
28.65,520.88,-81.25,201.75
28.72,520.88,-81.25,201.75
28.79,520.88,-81.25,201.75
28.85,520.88,-81.25,201.75
28.92,520.88,-81.25,201.75
28.99,520.88,-81.25,201.75
29.05,520.88,-81.25,201.75
29.12,520.88,-81.25,201.75
29.19,520.88,-81.25,201.75
29.25,520.88,-81.25,201.75
29.32,520.88,-81.25,201.75
29.39,520.88,-81.25,201.75
29.45,520.88,-81.25,201.75
29.52,520.88,-81.25,201.75
29.58,520.88,-81.25,201.75
29.65,520.88,-81.25,201.75
29.72,520.88,-81.25,201.75
29.78,520.88,-81.25,201.75
29.85,520.88,-81.25,201.75
29.92,520.88,-81.25,201.75
29.98,520.88,-81.25,201.75
30.05,520.88,-81.25,201.75
30.12,520.88,-81.25,201.75
30.18,520.88,-81.25,201.75
30.25,520.88,-81.25,201.75
30.32,520.88,-81.25,201.75
30.38,520.88,-81.25,201.75
30.45,520.88,-81.25,201.75
30.52,520.88,-81.25,201.75
30.58,520.88,-81.25,201.75
30.65,520.88,-81.25,201.75
30.71,520.88,-81.25,201.75
30.78,520.88,-81.25,201.75
30.85,520.88,-81.25,201.75
